	Phrase	new_sent
50540	`` One look at a girl in tight pants and big tits and you turn stupid ? ''	0
15478	the most complex , generous and subversive artworks of the last decade	1
4813	aims to be funny , uplifting and moving , sometimes all at once .	1
12084	the poor acting by the ensemble cast , the flat dialogue by Vincent R. Nebrida or the gutless direction by Laurice Guillen	0
17320	squeeze the action and our emotions into the all-too-familiar dramatic arc of the Holocaust escape story	0
117975	falls back on too many tried-and-true shenanigans that hardly distinguish it from the next teen comedy	0
72873	The unique niche of self-critical , behind-the-scenes navel-gazing Kaufman has carved from Orleans ' story and his own infinite insecurity is a work of outstanding originality .	1
35002	There 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a Hollywood career , if they want one	1
56658	is ironically muted by the very people who are intended to make it shine	0
91897	fill The Hot Chick , the latest gimmick from this unimaginative comedian .	0
2983	-- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product	0
132790	A subtle , humorous , illuminating study of politics , power and social mobility	1
37217	There are some fairly unsettling scenes , but they never succeed in really rattling the viewer .	0
78106	It 's been 13 months and 295 preview screenings since I last walked out on a movie	0
18364	I said my ribcage did n't ache by the end of Kung Pow	1
101127	Bray is completely at sea ; with nothing but a Savage Garden music video on his resume , he has no clue about making a movie .	0
16910	more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing	1
62941	is clever and funny , is amused by its special effects ,	1
56931	stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain .	0
84561	There 's much tongue in cheek in the film and there 's no doubt the filmmaker is having fun with it all	1
130014	A sweet , tender sermon about a 12-year-old Welsh boy more curious about God than girls , who learns that believing in something does matter .	1
113728	joins the ranks of those gay filmmakers who have used the emigre experience to explore same-sex culture in ways that elude the more nationally settled	1
51435	The movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .	0
50024	that he tosses a kitchen sink onto a story already overladen with plot conceits	0
93853	is a horrible movie -- if only it were that grand a failure	0
87275	I felt trapped and with no obvious escape for the entire 100 minutes .	0
118531	that concentrates on people , a project in which the script and characters hold sway	1
101947	Elaborate special effects take centre screen , so that the human story is pushed to one side .	1
72604	's really an exercise in gross romanticization of the delusional personality type	0
56856	I can easily imagine Benigni 's Pinocchio becoming a Christmas perennial .	1
15886	's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads	0
150364	offend viewers not amused by the sick sense of humor .	0
33131	's worth , with fantasy mixing with reality and actors playing more than one role just to add to the confusion	0
2991	dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product	0
130309	she does n't bother to make her heroine 's book sound convincing , the gender-war ideas original , or the comic scenes fly	0
136342	that both thrills the eye and , in its over-the-top way , touches the heart	1
53764	makes a feature debut that is fully formed and remarkably assured	1
47935	mixes in as much humor as pathos to take us on his sentimental journey of the heart	1
24188	the surface histrionics failing to compensate for the paper-thin characterizations and facile situations	0
6886	, Sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness .	0
38873	able to share his story so compellingly with us is a minor miracle	1
154702	a ride that 's consistently surprising , easy to watch -- but , oh , so dumb	1
112116	has filmed the opera exactly as the libretto directs , ideally capturing the opera 's drama and lyricism	1
73435	that embraces its old-fashioned themes and in the process comes out looking like something wholly original	1
78969	The script is high on squaddie banter , low on shocks .	1
41351	comes off like a particularly amateurish episode of Bewitched that takes place during Spring Break .	0
5428	A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find .	0
107376	SC2 is an autopilot Hollywood concoction lacking in imagination and authentic Christmas spirit	0
76409	A vibrant whirlwind of love , family and all that goes with it	1
123590	An amalgam of The Fugitive , Blade Runner , and Total Recall , only without much energy or tension	0
46202	Though in some ways similar to Catherine Breillat 's Fat Girl , Rain is the far superior film .	1
73854	assume he had a bad run in the market or a costly divorce , because there is no earthly reason other than money why this distinguished actor would stoop so low .	0
21558	... in trying to capture the novel 's deeper intimate resonances , the film has -- ironically - distanced us from the characters .	0
64378	that encourages you to accept it as life and go with its flow	1
88396	to take an entirely stale concept and push it through the audience 's meat grinder one more time	0
99531	Cletis Tout is a winning comedy that excites the imagination and tickles the funny bone .	1
46369	is surprisingly brilliant , deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip .	1
53886	My Wife Is an Actress works as well as it does because -LRB- the leads -RRB- are such a companionable couple .	1
118195	this utterly ridiculous shaggy dog story as one of the most creative , energetic and original comedies to hit the screen in years	1
135096	Schaefer 's ... determination to inject farcical raunch ... drowns out the promise of the romantic angle .	0
7623	Seeing as the film lacks momentum and its position remains mostly undeterminable , the director 's experiment is a successful one .	1
42735	Fails as a dystopian movie , as a retooling of Fahrenheit 451 , and even as a rip-off of The Matrix .	0
120340	, but I suspect it might deliver again and again .	1
8373	, it 's probably not accurate to call it a movie	0
153008	A quietly moving look back at what it was to be Iranian-American in 1979 .	1
41572	an oily arms dealer , squad car pile-ups and the requisite screaming captain	0
107166	provide the obstacle course for the love of a good woman	1
33975	Wes Craven 's presence is felt ; not the Craven of ' A Nightmare on Elm Street ' or ` The Hills Have Eyes , ' but the sad schlock merchant of ` Deadly Friend . '	0
121321	Been there , done that ... a thousand times already , and better	0
26584	he can rest contentedly with the knowledge that he 's made at least one damn fine horror movie	1
80831	We want the funk - and this movie 's got it	1
43020	If you 're looking for a smart , nuanced look at de Sade and what might have happened at Picpus	1
114322	the diplomat 's tweaked version of statecraft may have cost thousands and possibly millions of lives	0
6319	paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers	0
92248	has appeal beyond being a Sandra Bullock vehicle or a standard romantic comedy .	1
135453	self-consciously flashy camera effects , droning house music and flat , flat dialogue	0
154569	proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure .	1
145024	is what it is -- a nice , harmless date film ...	1
76035	feels conceived and shot on the fly -- like between lunch breaks for Shearer 's radio show and his Simpson voice-overs .	0
125135	's got just enough charm and appealing character quirks to forgive that still serious problem	1
152548	their sexual and romantic tension , while never really vocalized , is palpable	1
75266	It has fun with the quirks of family life , but it also treats the subject with fondness and respect	1
42857	Executed with such gentle but insistent sincerity , with such good humor and appreciation of the daily grind that only the most hardhearted Scrooge could fail to respond .	1
27142	has the stuff to stand tall with Pryor , Carlin and Murphy	1
47808	suggest possibilities which imbue the theme with added depth and resonance	1
129346	wanted to make , though Bette Davis , cast as Joan , would have killed him	0
137088	This is an action movie with an action icon who 's been all but decommissioned .	0
36805	, Secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers ' sporadic dips into pop Freudianism .	1
74012	be depressing , as the lead actor phones in his autobiographical performance	0
85549	, these components combine into one terrific story with lots of laughs .	1
54462	My Wife is an Actress has its moments in looking at the comic effects of jealousy .	1
120850	Jacquot seems unsure of how to evoke any sort of naturalism on the set .	0
109421	is very much of a mixed bag , with enough negatives	0
111444	a film that is n't nearly as graphic but much more powerful , brutally shocking and difficult to watch	0
122120	What you expect is just what you get ... assuming the bar of expectations has n't been raised above sixth-grade height .	0
125220	tell you anything except that the Chelsea Hotel today is populated by whiny , pathetic , starving and untalented artistes	0
86412	succeeds as a powerful look at a failure of our justice system .	1
121468	, directors Dean Deblois and Chris Sanders valiantly keep punching up the mix .	1
80855	is Sandler running on empty , repeating what he 's already done way too often .	0
27079	gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers .	1
46406	Stanley Kwan has directed not only one of the best gay love stories ever made ,	1
111081	comes closer to the failure of the third Revenge of the Nerds sequel	0
69594	an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that does n't reveal even a hint of artifice	1
146426	still does n't quite know how to fill a frame .	0
62487	to boring , self-important stories of how horrible we are to ourselves and each other	0
77614	While somewhat less than it might have been , the film is a good one	1
90784	's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating	0
93577	reminds me of a vastly improved Germanic version of My Big Fat Greek Wedding --	1
142498	A work of extraordinary journalism , but it is also a work of deft and subtle poetry	1
57659	Hollywood has crafted a solid formula for successful animated movies , and Ice Age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor	1
7906	been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept	0
70349	a revealing look at the collaborative process and a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing	1
107216	if you do n't demand much more than a few cheap thrills from your Halloween entertainment	0
59908	as an older woman who seduces Oscar , the film founders on its lack of empathy for the social milieu - rich New York intelligentsia - and its off	0
121089	A Rumor of Angels does n't just slip -- it avalanches into forced fuzziness	0
113935	is like seeing a series of perfect black pearls clicking together to form a string .	1
78433	I could have looked into my future and saw how bad this movie was	0
40400	The Bourne Identity should n't be half as entertaining as it is , but director Doug Liman and his colleagues have managed to pack it with enough action to satisfy the boom-bam crowd without a huge sacrifice of character and mood	1
23424	Crush could be the worst film a man has made about women since Valley of the Dolls .	0
34201	the nicest thing I can say is that I ca n't remember a single name responsible for it	0
3712	Poor editing , bad bluescreen , and ultra-cheesy dialogue highlight the radical action .	0
5294	is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound .	0
79362	is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .	1
11380	a strong directorial stamp on every frame of this stylish film that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye	1
151896	carries much of the film with a creepy and dead-on performance .	1
44413	confusing on one level or another , making Ararat far more demanding than it needs to be	0
140705	It goes on for too long and bogs down in a surfeit of characters and unnecessary subplots .	0
69058	see an artist , still committed to growth in his ninth decade	1
84436	is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches	1
82032	the astute direction of Cardoso and beautifully detailed performances by all of the actors	1
70126	it veered off too far into the Exxon zone , and left me behind at the station looking for a return ticket to realism	0
30326	a deserved co-winner of the Audience Award for documentaries at the Sundance Film Festival	1
131271	's hard to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as The Grey Zone	0
133360	, the tale has turned from sweet to bittersweet , and when the tears come during that final , beautiful scene , they finally feel absolutely earned .	1
12860	The color sense of Stuart Little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is	1
52720	If the real-life story is genuinely inspirational , the movie stirs us as well .	1
120823	it will just as likely make you weep , and it will do so in a way that does n't make you feel like a sucker .	1
107126	... once the true impact of the day unfolds , the power of this movie is undeniable .	1
95937	It 's a treat -- a delightful , witty , improbable romantic comedy with a zippy jazzy score ...	1
35308	remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . '	0
109289	is the best little `` horror '' movie I 've seen in years	1
133472	that ultimately dulls the human tragedy at the story 's core	0
81137	elevates the material above pat inspirational status and gives it a sturdiness and solidity that we 've long associated with Washington the actor	1
41086	The search for redemption makes for a touching love story , mainly because Blanchett and Ribisi compellingly tap into a spiritual aspect of their characters ' suffering .	1
74775	will have found a cult favorite to enjoy for a lifetime .	1
89246	humor and a heartfelt conviction to tell a story about discovering your destination in life	1
31544	With little visible talent and no energy , Colin Hanks is in bad need of major acting lessons and maybe a little coffee .	0
40517	enough cool fun here to warm the hearts of animation enthusiasts of all ages	1
135647	There 's a reason the studio did n't offer an advance screening .	0
150468	The logic of it all will be Greek to anyone not predisposed to the movie 's rude and crude humor .	0
48628	The dramatic crisis does n't always succeed in its quest to be taken seriously ,	0
96087	Johnnie To and Wai Ka Fai are -RRB- sure to find an enthusiastic audience among American action-adventure buffs , but the film 's interests may be too narrow to attract crossover viewers .	0
8098	of the rare directors who feels acting is the heart and soul of cinema	1
110788	touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths	1
136790	for the rhapsodic dialogue that jumps off the page , and for the memorable character creations	1
2865	A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being	0
107038	plummets into a comedy graveyard before Janice comes racing to the rescue in the final reel	1
128581	looking at his 12th Oscar nomination by proving that he 's now , more than ever , choosing his roles with the precision of the insurance actuary	1
118736	have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching .	1
60212	's a spontaneity to The Chateau , a sense of light-heartedness , that makes it attractive throughout .	1
81794	, having sucked dry the undead action flick formula , Blade II mutates into a gross-out monster movie with effects that are more silly than scary .	0
97694	'll find yourself remembering this refreshing visit to a Sunshine State	1
123593	of The Fugitive , Blade Runner , and Total Recall , only without much energy or tension	0
87351	Lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .	0
118687	chomp on jumbo ants , pull an arrow out of his back , and	0
139046	A lot of talent is wasted in this crass , low-wattage endeavor .	0
15181	The beautiful , unusual music is this film 's chief draw ,	1
63586	even more indistinct than it is were it not for the striking , quietly vulnerable personality of Ms. Ambrose	1
137161	of that peculiar tension of being too dense & about nothing at all	0
137665	Thriller directorial debut for Traffic scribe Gaghan has all the right parts	1
140548	Max pokes , provokes , takes expressionistic license and hits a nerve ...	1
133954	The narrator and the other characters try to convince us that acting transfigures Esther , but she 's never seen speaking on stage ; one feels cheated , and	0
53440	A plethora of engaging diatribes on the meaning of ` home	1
64379	encourages you to accept it as life and go with its flow	1
104599	comes off as so silly that you would n't be surprised if BA , Murdock and rest of the A-Team were seen giving chase in a black and red van .	0
8852	Once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea is n't funny .	0
58377	uses a magnificent landscape to create a feature film that is wickedly fun to watch	1
36785	have problems , which are neither original nor are presented in convincing way .	0
103796	the manner of the storytelling , which undercuts the devastatingly telling impact of utter loss personified in the film 's simple title	0
120031	because there 's not an original character , siuation or joke in the entire movie	0
25829	done , running off the limited chemistry created by Ralph Fiennes and Jennifer Lopez	0
69206	As giddy and whimsical and relevant today as it was 270 years ago .	1
79016	Solaris '' is a shapeless inconsequential move relying on the viewer to do most of the work .	0
98277	Her fans walked out muttering words like `` horrible '' and `` terrible , '' but had so much fun dissing the film that they did n't mind the ticket cost .	0
102590	The only problem is that , by the end , no one in the audience or the film seems to really care .	0
121157	the kind of insouciance embedded in the sexy demise of James Dean	1
27463	that allows him to churn out one mediocre movie after another	0
57634	a funny -LRB- sometimes hilarious -RRB- comedy with a deft sense of humor about itself , a playful spirit and a game cast	1
145817	managed to find something new to add to the canon of Chan	1
153676	One well-timed explosion in a movie can be a knockout , but a hundred of them can be numbing	0
42299	This charming , thought-provoking New York fest of life and love	1
124454	A strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing Spider-Man .	1
91189	This gorgeous epic is guaranteed to lift the spirits of the whole family .	1
144365	smart , funny and just honest enough to provide the pleasures of a slightly naughty , just-above-average off - Broadway play	1
55735	Curiously , Super Troopers suffers because it does n't have enough vices to merit its 103-minute length .	0
134511	Roman Polanski 's autobiographical gesture at redemption is better than ` Shindler 's List ' -	1
140500	bucked the odds to emerge as an exquisite motion picture in its own right	1
3181	Mr. Polanski is in his element here : alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival	1
39601	the message of our close ties with animals can certainly not be emphasized enough	1
110515	is hollow , self-indulgent , and - worst of all - boring .	0
44365	except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine	0
113657	a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress	1
106947	Bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world .	1
110728	exposes the limitations of his skill and the basic flaws in his vision .	0
39886	The type of dumbed-down exercise in stereotypes that gives the -LRB- teen comedy -RRB- genre a bad name .	0
32822	are a couple of things that elevate `` Glory '' above most of its ilk , most notably the mere presence of Duvall	1
138011	you can enjoy much of Jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced Monty Pythonesque flavor .	1
147615	shines on all the characters , as the direction is intelligently accomplished .	1
138280	City by the Sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for .	1
95435	... as stiff , ponderous and charmless as a mechanical apparatus	0
144431	As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .	1
117034	earnest and well-meaning , and so stocked with talent , that you almost forget the sheer ,	1
74380	almost makes you wish he 'd gone the way of Don Simpson	0
114534	Another wholly unnecessary addition to the growing , moldering pile of , well , extreme stunt pictures .	0
22328	An uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .	0
71247	to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration	0
122321	the cute frissons of discovery and humor between Chaplin and Kidman that keep this nicely wound clock not just ticking , but humming	1
34630	a film in the tradition of The Graduate quickly switches into something more recyclable than significant	0
64631	I thought the relationships were wonderful , the comedy was funny , and	1
80175	Is not so much a work of entertainment as it is a unique , well-crafted psychological study of grief .	1
124493	An energetic , violent movie with a momentum that never lets up	1
137302	Ultimately , the film amounts to being lectured to by tech-geeks , if you 're up for that sort of thing .	0
67149	to a tragedy which is somehow guessable from the first few minutes , maybe because it echoes the by now intolerable morbidity of so many recent movies	0
89575	If ever a concept came handed down from the movie gods on a silver platter , this is it .	1
151487	a pastiche of children 's entertainment , superhero comics , and Japanese animation	1
82646	as the film has some of the best special effects ever	1
117941	, there 's a certain robustness to this engaging mix of love and bloodletting .	1
45825	The film boasts at least a few good ideas and features some decent performances ,	1
84924	Like a medium-grade network sitcom -- mostly inoffensive , fitfully amusing , but ultimately so weightless that a decent draft in the auditorium might blow it off the screen .	0
90087	This is a finely written , superbly acted offbeat thriller .	1
38769	it has some of the funniest jokes of any movie this year , including those intended for adults	1
47579	may be why it 's so successful at lodging itself in the brain	1
18009	It 's not a motion picture ; it 's an utterly static picture	0
134069	come closer than anyone could desire to the cheap , graceless , hackneyed sci-fi serials of the '30s and '40s	0
112114	Jacquot has filmed the opera exactly as the libretto directs , ideally capturing the opera 's drama and lyricism .	1
45768	it was , as my friend David Cross would call it , ` Hungry-Man portions of bad '	0
15661	is an impressive achievement in spite of a river of sadness that pours into every frame	1
10822	The young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient	0
57887	is a flop with the exception of about six gags that really work	0
69749	Both shrill and soporific , and because everything is repeated five or six times	0
54061	is that it has none of the pushiness and decibel volume of most contemporary comedies .	1
154087	If you can swallow its absurdities and crudities Lagaan really is enormously good fun .	1
67873	is derived from a lobotomy , having had all its vital essence scooped out and discarded	0
13027	As the movie dragged on , I thought I heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign .	0
8060	The band performances featured in Drumline are red hot ... -LRB- but -RRB- from a mere story point of view , the film 's ice cold	0
151052	A frustrating ` tweener ' -- too slick , contrived and exploitative for the art houses and too cynical , small and decadent for the malls .	0
60461	two things drag it down to mediocrity -- director Clare Peploe 's misunderstanding of Marivaux 's rhythms , and Mira Sorvino 's limitations as a classical actress	0
22887	about the optimism of a group of people who are struggling to give themselves a better lot in life than the ones	1
129042	a tone that 's alternately melancholic , hopeful and strangely funny	1
142111	the symbols of loss and denial and life-at-arm 's - length in the film seem irritatingly transparent	0
95569	remind them that Hong Kong action cinema is still alive and kicking	1
154936	in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of Run Lola Run	0
149649	many good ideas as bad is the cold comfort that Chin 's film serves up with style and empathy	0
14340	A tired , unnecessary retread ... a stale copy of a picture that was n't all that great to begin with	0
9984	pushes too hard to make this a comedy or serious drama	0
13240	dare to build a movie around some flawed but rather unexceptional women , emerging with a fine character study that 's short on plot but rich in the tiny revelations of real life .	1
45272	secondary action to keep things moving along at a brisk , amusing pace	1
50007	Stevens is -RRB- so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits .	0
19304	your interest until the end and even leaves you with a few lingering animated thoughts	1
43050	like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy	0
91915	reach the emotion or timelessness of Disney 's great past , or even that of more recent successes such as `` Mulan '' or `` Tarzan	1
114947	A movie I loved on first sight and , even more important , love in remembrance .	1
54946	trots out every ghost trick from The Sixth Sense to The Mothman Prophecies	0
11810	was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights	1
19035	the payoff for the audience , as well as the characters , is messy , murky , unsatisfying .	0
39725	desperate for attention it nearly breaks its little neck trying to perform entertaining tricks	0
56706	for the breezy and amateurish feel of an after school special on the subject of tolerance	0
75383	to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year	0
26308	struck less by its lavish grandeur than by its intimacy and precision	1
99677	Interesting both as a historical study and as a tragic love story .	1
119817	is too busy getting in its own way to be anything but frustrating , boring , and forgettable	0
16213	, it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in .	1
110090	`` Sorority Boys '' was funnier , and that movie was pretty bad	0
84406	is still fun and enjoyable and so aggressively silly that it 's more than a worthwhile effort	1
103290	Its use of the thriller form to examine the labyrinthine ways in which people 's lives cross and change ,	1
121946	Gaping plot holes sink this ` sub ' - standard thriller and drag audience enthusiasm to crush depth .	0
110291	That such a horrible movie could have sprung from such a great one is one of the year 's worst cinematic tragedies .	0
27955	a tradition-bound widow who is drawn into the exotic world of belly dancing	1
79948	fail to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , can not overcome blah characters .	0
119762	seems to have been ` it 's just a kids ' flick .	0
138520	hold onto what 's left of his passe ' chopsocky glory	0
137104	if George Romero had directed this movie , it would n't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head	0
19487	It 's in the action scenes that things fall apart .	0
152488	The action here is unusually tame , the characters are too simplistic to maintain interest , and the plot offers few surprises	0
100228	Could I have been more geeked when I heard that Apollo 13 was going to be released in IMAX format	1
124704	It wo n't hold up over the long haul , but in the moment , Finch 's tale provides the forgettable pleasures of a Saturday matinee .	1
116437	that you should have gotten more out of it than you did	0
95770	It 's no lie -- Big Fat Liar is a real charmer .	1
12173	Goldmember has none of the visual wit of the previous pictures , and it looks as though Jay Roach directed the film from the back of a taxicab	0
134343	Twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .	1
103951	that 's steeped in mystery and a ravishing , baroque beauty	1
38409	For a movie about the power of poetry and passion , there is precious little of either .	0
38034	Bill Morrison 's Decasia is uncompromising , difficult and unbearably beautiful .	1
152426	, indeed almost never , is such high-wattage brainpower coupled with pitch-perfect acting and an exquisite , unfakable sense of cinema .	1
131766	's meandering , low on energy , and too eager to be quirky at moments	0
104749	sustain the buoyant energy level of the film 's city beginnings into its country conclusion '	1
133454	his determination to remain true to the original text leads him to adopt a somewhat mannered tone ... that ultimately dulls the human tragedy at the story 's core	0
68528	does a film so graceless and devoid of merit as this one come along	0
111754	goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it	1
33880	A cellophane-pop remake of the punk classic Ladies and Gentlemen , The Fabulous Stains ...	0
101965	has the courage of its convictions and excellent performances on its side .	1
77588	constructs a hilarious ode to middle America and middle age with this unlikely odyssey	1
121295	seen -LRB- a remake -RRB- do anything as stomach-turning as the way Adam Sandler 's new movie rapes , pillages and incinerates Frank Capra 's classic	0
136413	Some of the visual flourishes are a little too obvious , but restrained and subtle storytelling , and fine performances make this delicate coming-of-age tale a treat	1
78050	to enjoy the perfectly pitched web of tension that Chabrol spins	1
47349	The project 's filmmakers forgot to include anything even halfway scary as they poorly rejigger Fatal Attraction into a high school setting .	0
123750	shows crushingly little curiosity about , or is ill-equipped to examine , the interior lives of the characters in his film , much less incorporate them into his narrative .	0
126625	his superb actors convey Martin 's deterioration and Barbara 's sadness -- and , occasionally	1
125564	Time literally stops on a dime in the tries-so-hard-to-be-cool `` Clockstoppers , ''	0
123247	E.T. works because its flabbergasting principals , 14-year-old Robert MacNaughton , 6-year-old Drew Barrymore and 10-year-old Henry Thomas , convince us of the existence of the wise , wizened visitor from a faraway planet .	1
75957	leave the same way you came -- a few tasty morsels under your belt , but no new friends	0
124183	Quite simply , a joy to watch and -- especially -- to listen to	1
48085	galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie	0
147080	a marquee , especially when the payoff is an unschooled comedy like Stealing Harvard , which fails to keep 80 minutes from seeming like 800	0
75839	makes The Banger Sisters a fascinating character study with laughs to spare	1
151550	It 's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay .	0
128010	-LRB- MacDowell -RRB- ventures beyond her abilities several times here and reveals how bad an actress she is .	0
27080	gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers	1
113587	proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film .	1
17274	What we get ... is Caddyshack crossed with the Loyal Order of Raccoons	1
64770	has bitten off more than he or anyone else could chew	0
23174	only are the film 's Sopranos gags incredibly dated and unfunny	0
34513	with a confusing sudden finale that 's likely to irk viewers	0
143237	A breathtaking adventure for all ages , Spirit tells its poignant and uplifting story in a stunning fusion of music and images .	1
70324	do n't need to be a hip-hop fan to appreciate Scratch	1
122395	finally transporting re-imagining of Beauty and the Beast and 1930s horror films	1
40071	a phlegmatic bore , so tedious it makes the silly spy vs. spy film The Sum of All Fears , starring Ben Affleck , seem downright Hitchcockian	0
29988	One of the funniest motion pictures of the year , but ... also one of the most curiously depressing	1
5856	Ah , yes , that would be me : fighting off the urge to doze .	0
104644	charged , but ultimately lacking in substance , not to mention dragged down by a leaden closing act .	0
135746	in many ways the perfect festival film : a calm , self-assured portrait of small town regret , love , duty and friendship that appeals to the storytelling instincts of a slightly more literate filmgoing audience	1
49778	then this first film to use a watercolor background since `` Dumbo '' certainly ranks as the most original in years .	1
91790	If Oscar had a category called Best Bad Film You Thought Was Going To Be Really Awful But Was n't	1
30623	I could n't help but feel the wasted potential of this slapstick comedy .	0
155781	there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely .	0
88385	About the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience 's meat grinder one more time .	0
30753	a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety	0
77156	complex from the start -- and , refreshingly , stays that way	1
146134	flat-out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters , delicious dialogue	1
98279	walked out muttering words like `` horrible '' and `` terrible , '' but had so much fun dissing the film that they did n't mind the ticket cost .	0
70672	Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .	1
83812	more of a creaky `` Pretty Woman '' retread , with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought	0
144123	of spontaneity in its execution and a dearth of real poignancy	1
150776	otherwise this is the best ` old neighborhood ' project since Christopher Walken kinda romanced Cyndi Lauper in The Opportunists	1
117198	elegantly considers various levels of reality and uses shifting points of view	1
116434	leaves you with the impression that you should have gotten more out of it than you did	0
42479	Just another combination of bad animation and mindless violence ... lacking the slightest bit	0
53279	The movie attempts to mine laughs from a genre -- the gangster\/crime comedy -- that wore out its welcome with audiences several years ago , and its cutesy reliance on movie-specific cliches is n't exactly endearing	0
27530	An intelligently made -LRB- and beautifully edited -RRB- picture that at the very least has a spark of life to it -- more than you can say for plenty of movies that flow through the Hollywood pipeline without a hitch .	1
138838	more abundant supply in this woefully hackneyed movie , directed by Scott Kalvert , about street gangs and turf wars in 1958 Brooklyn -- stale cliches , gratuitous violence , or empty machismo	0
63691	It 's a diverting enough hour-and-a-half for the family audience .	1
17385	few will argue that it ranks with the best of Herzog 's works	1
